system_id,seller_system_id,resource,price,amount,issued,delivery,status
0,8,iron,18.18,1,0,4,resolved
0,7,uranium,268.79,1,0,4,resolved
1,0,zinc,19.11,1,0,2,resolved
1,7,uranium,268.79,1,0,4,resolved
2,8,iron,18.18,1,0,2,resolved
2,7,uranium,268.79,1,0,1,resolved
3,0,zinc,19.11,1,0,1,resolved
3,7,uranium,268.79,1,0,4,resolved
4,8,iron,18.18,1,0,4,resolved
4,7,uranium,268.79,1,0,1,resolved
5,0,zinc,19.11,1,0,3,resolved
5,7,uranium,268.79,1,0,3,resolved
6,7,uranium,268.79,1,0,4,resolved
7,8,iron,18.18,1,0,4,resolved
7,0,zinc,19.11,1,0,5,resolved
8,7,uranium,268.79,1,0,2,resolved
9,7,uranium,268.79,1,0,5,resolved
10,7,uranium,268.79,1,0,2,resolved
11,8,iron,18.18,1,0,4,resolved
11,0,zinc,19.11,1,0,5,resolved
12,8,iron,18.18,1,0,3,resolved
13,0,zinc,19.11,1,0,4,resolved
13,7,uranium,268.79,1,0,3,resolved
14,0,zinc,19.11,1,0,4,resolved
0,8,iron,18.18,1,1,4,resolved
0,7,uranium,268.79,1,1,2,resolved
1,0,zinc,19.11,1,1,5,resolved
1,7,uranium,268.79,1,1,6,resolved
2,8,iron,18.18,1,1,4,resolved
2,7,uranium,268.79,1,1,2,resolved
3,0,zinc,19.11,1,1,2,resolved
3,7,uranium,268.79,1,1,3,resolved
4,8,iron,18.18,1,1,6,resolved
4,7,uranium,268.79,1,1,5,resolved
5,0,zinc,19.11,1,1,3,resolved
5,7,uranium,268.79,1,1,2,resolved
6,7,uranium,268.79,1,1,5,resolved
7,8,iron,18.18,1,1,2,resolved
7,0,zinc,19.11,1,1,3,resolved
8,7,uranium,268.79,1,1,2,resolved
9,7,uranium,268.79,1,1,5,resolved
10,7,uranium,268.79,1,1,5,resolved
11,8,iron,18.18,1,1,6,resolved
11,0,zinc,19.11,1,1,4,resolved
12,8,iron,18.18,1,1,5,resolved
13,0,zinc,19.11,1,1,2,resolved
13,7,uranium,268.79,1,1,2,resolved
14,0,zinc,19.11,1,1,2,resolved
0,8,iron,18.18,1,2,7,resolved
0,7,uranium,268.79,1,2,4,resolved
1,0,zinc,19.11,1,2,5,resolved
1,7,uranium,268.79,1,2,7,resolved
2,8,iron,18.18,1,2,3,resolved
2,7,uranium,268.79,1,2,7,resolved
3,0,zinc,19.11,1,2,4,resolved
3,7,uranium,268.79,1,2,3,resolved
4,8,iron,18.18,1,2,5,resolved
4,7,uranium,268.79,1,2,6,resolved
5,0,zinc,19.11,1,2,6,resolved
5,7,uranium,268.79,1,2,3,resolved
6,7,uranium,268.79,1,2,7,resolved
7,8,iron,18.18,1,2,7,resolved
7,0,zinc,19.11,1,2,4,resolved
8,7,uranium,268.79,1,2,4,resolved
9,7,uranium,268.79,1,2,7,resolved
10,7,uranium,268.79,1,2,4,resolved
11,8,iron,18.18,1,2,5,resolved
11,0,zinc,19.11,1,2,6,resolved
12,8,iron,18.18,1,2,5,resolved
13,0,zinc,19.11,1,2,6,resolved
13,7,uranium,268.79,1,2,6,resolved
14,0,zinc,19.11,1,2,6,resolved
0,8,iron,18.18,1,3,5,resolved
0,7,uranium,268.79,1,3,6,resolved
1,0,zinc,19.11,1,3,7,resolved
1,7,uranium,268.79,1,3,7,resolved
2,8,iron,18.18,1,3,5,resolved
2,7,uranium,268.79,1,3,7,resolved
3,0,zinc,19.11,1,3,8,resolved
3,7,uranium,268.79,1,3,8,resolved
4,8,iron,18.18,1,3,7,resolved
4,7,uranium,268.79,1,3,5,resolved
5,0,zinc,19.11,1,3,7,resolved
5,7,uranium,268.79,1,3,6,resolved
6,7,uranium,268.79,1,3,5,resolved
7,8,iron,18.18,1,3,7,resolved
7,0,zinc,19.11,1,3,5,resolved
8,7,uranium,268.79,1,3,4,resolved
9,7,uranium,268.79,1,3,8,resolved
10,7,uranium,268.79,1,3,7,resolved
11,8,iron,18.18,1,3,8,resolved
11,0,zinc,19.11,1,3,8,resolved
12,8,iron,18.18,1,3,4,resolved
13,0,zinc,19.11,1,3,8,resolved
13,7,uranium,268.79,1,3,8,resolved
14,0,zinc,19.11,1,3,8,resolved
0,8,iron,18.18,1,4,7,resolved
0,7,uranium,268.79,1,4,7,resolved
1,0,zinc,19.11,1,4,5,resolved
1,7,uranium,268.79,1,4,5,resolved
2,8,iron,18.18,1,4,9,resolved
2,7,uranium,268.79,1,4,6,resolved
3,0,zinc,19.11,1,4,5,resolved
3,7,uranium,268.79,1,4,5,resolved
4,8,iron,18.18,1,4,7,resolved
4,7,uranium,268.79,1,4,7,resolved
5,0,zinc,19.11,1,4,7,resolved
5,7,uranium,268.79,1,4,6,resolved
6,7,uranium,268.79,1,4,9,resolved
7,8,iron,18.18,1,4,6,resolved
7,0,zinc,19.11,1,4,9,resolved
8,7,uranium,268.79,1,4,8,resolved
9,7,uranium,268.79,1,4,9,resolved
10,7,uranium,268.79,1,4,9,resolved
11,8,iron,18.18,1,4,8,resolved
11,0,zinc,19.11,1,4,6,resolved
12,8,iron,18.18,1,4,5,resolved
13,0,zinc,19.11,1,4,6,resolved
13,7,uranium,268.79,1,4,7,resolved
14,0,zinc,19.11,1,4,9,resolved
0,8,iron,18.18,1,5,7,resolved
0,7,uranium,268.79,1,5,6,resolved
1,0,zinc,19.11,1,5,10,open
1,7,uranium,268.79,1,5,8,resolved
2,8,iron,18.18,1,5,6,resolved
2,7,uranium,268.79,1,5,8,resolved
3,0,zinc,19.11,1,5,8,resolved
3,7,uranium,268.79,1,5,10,open
4,8,iron,18.18,1,5,9,resolved
4,7,uranium,268.79,1,5,6,resolved
5,0,zinc,19.11,1,5,8,resolved
5,7,uranium,268.79,1,5,8,resolved
6,7,uranium,268.79,1,5,9,resolved
7,8,iron,18.18,1,5,10,open
7,0,zinc,19.11,1,5,7,resolved
8,7,uranium,268.79,1,5,7,resolved
9,7,uranium,268.79,1,5,6,resolved
10,7,uranium,268.79,1,5,10,open
11,8,iron,18.18,1,5,10,open
11,0,zinc,19.11,1,5,6,resolved
12,8,iron,18.18,1,5,6,resolved
13,0,zinc,19.11,1,5,6,resolved
13,7,uranium,268.79,1,5,10,open
14,0,zinc,19.11,1,5,9,resolved
0,8,iron,18.18,1,6,8,resolved
0,7,uranium,268.79,1,6,7,resolved
1,0,zinc,19.11,1,6,9,resolved
1,7,uranium,268.79,1,6,8,resolved
2,8,iron,18.18,1,6,7,resolved
2,7,uranium,268.79,1,6,11,open
3,0,zinc,19.11,1,6,11,open
3,7,uranium,268.79,1,6,8,resolved
4,8,iron,18.18,1,6,11,open
4,7,uranium,268.79,1,6,9,resolved
5,0,zinc,19.11,1,6,9,resolved
5,7,uranium,268.79,1,6,8,resolved
6,7,uranium,268.79,1,6,9,resolved
7,8,iron,18.18,1,6,8,resolved
7,0,zinc,19.11,1,6,9,resolved
8,7,uranium,268.79,1,6,8,resolved
9,7,uranium,268.79,1,6,7,resolved
10,7,uranium,268.79,1,6,7,resolved
11,8,iron,18.18,1,6,10,open
11,0,zinc,19.11,1,6,7,resolved
12,8,iron,18.18,1,6,11,open
13,0,zinc,19.11,1,6,7,resolved
13,7,uranium,268.79,1,6,8,resolved
14,0,zinc,19.11,1,6,9,resolved
0,8,iron,18.18,1,7,8,resolved
0,7,uranium,268.79,1,7,8,resolved
1,0,zinc,19.11,1,7,12,open
1,7,uranium,268.79,1,7,9,resolved
2,8,iron,18.18,1,7,12,open
2,7,uranium,268.79,1,7,12,open
3,0,zinc,19.11,1,7,9,resolved
3,7,uranium,268.79,1,7,11,open
4,8,iron,18.18,1,7,11,open
4,7,uranium,268.79,1,7,9,resolved
5,0,zinc,19.11,1,7,8,resolved
5,7,uranium,268.79,1,7,8,resolved
6,7,uranium,268.79,1,7,8,resolved
7,8,iron,18.18,1,7,10,open
7,0,zinc,19.11,1,7,11,open
8,7,uranium,268.79,1,7,12,open
9,7,uranium,268.79,1,7,8,resolved
10,7,uranium,268.79,1,7,9,resolved
11,8,iron,18.18,1,7,8,resolved
11,0,zinc,19.11,1,7,11,open
12,8,iron,18.18,1,7,8,resolved
13,0,zinc,19.11,1,7,11,open
13,7,uranium,268.79,1,7,8,resolved
14,0,zinc,19.11,1,7,11,open
0,8,iron,18.18,1,8,10,open
0,7,uranium,268.79,1,8,10,open
1,0,zinc,19.11,1,8,10,open
1,7,uranium,268.79,1,8,12,open
2,8,iron,18.18,1,8,10,open
2,7,uranium,268.79,1,8,11,open
3,0,zinc,19.11,1,8,9,resolved
3,7,uranium,268.79,1,8,9,resolved
4,8,iron,18.18,1,8,12,open
4,7,uranium,268.79,1,8,10,open
5,0,zinc,19.11,1,8,10,open
5,7,uranium,268.79,1,8,10,open
6,7,uranium,268.79,1,8,12,open
7,8,iron,18.18,1,8,13,open
7,0,zinc,19.11,1,8,13,open
8,7,uranium,268.79,1,8,12,open
9,7,uranium,268.79,1,8,10,open
10,7,uranium,268.79,1,8,12,open
11,8,iron,18.18,1,8,11,open
11,0,zinc,19.11,1,8,9,resolved
12,8,iron,18.18,1,8,10,open
13,0,zinc,19.11,1,8,13,open
13,7,uranium,268.79,1,8,12,open
14,0,zinc,19.11,1,8,12,open
0,8,iron,18.18,1,9,12,open
0,7,uranium,268.79,1,9,14,open
1,0,zinc,19.11,1,9,12,open
1,7,uranium,268.79,1,9,10,open
2,8,iron,18.18,1,9,10,open
2,7,uranium,268.79,1,9,11,open
3,0,zinc,19.11,1,9,11,open
3,7,uranium,268.79,1,9,14,open
4,8,iron,18.18,1,9,12,open
4,7,uranium,268.79,1,9,12,open
5,0,zinc,19.11,1,9,11,open
5,7,uranium,268.79,1,9,12,open
6,7,uranium,268.79,1,9,12,open
7,8,iron,18.18,1,9,10,open
7,0,zinc,19.11,1,9,13,open
8,7,uranium,268.79,1,9,13,open
9,7,uranium,268.79,1,9,12,open
10,7,uranium,268.79,1,9,12,open
11,8,iron,18.18,1,9,12,open
11,0,zinc,19.11,1,9,13,open
12,8,iron,18.18,1,9,13,open
13,0,zinc,19.11,1,9,13,open
13,7,uranium,268.79,1,9,12,open
14,0,zinc,19.11,1,9,13,open
